Num,Accession ID,Lineage,Type
1824,EPI_ISL_1756729,B.1.177.60,B.1 Type
1825,EPI_ISL_1759356,B.1.1.7,Alpha
1826,EPI_ISL_1760240,B.1.240,B.1 Type
1827,EPI_ISL_1760295,A.21,A
1828,EPI_ISL_1785071,B.1.160,B.1 Type
1829,EPI_ISL_1785869,B.1.1.7,Alpha
1830,EPI_ISL_1786402,B.1.1.7,Alpha
1831,EPI_ISL_1787475,Q.4,Alpha
1832,EPI_ISL_1788402,B.1.1.7,Alpha
1833,EPI_ISL_1788458,Q.4,Alpha
1834,EPI_ISL_1789056,B.1.1.7,Alpha
1835,EPI_ISL_1789118,B.1.470,B.1 Type
1836,EPI_ISL_1789456,B.1.525,B.1 Type
1837,EPI_ISL_1789722,B.1.627,B.1 Type
1838,EPI_ISL_1790084,B.1.1.1,B.1.1 Type
1839,EPI_ISL_1790086,B.1.1.1,B.1.1 Type
1840,EPI_ISL_1790151,B.1.1,B.1.1 Type
1841,EPI_ISL_1791395,B.1.1.7,Alpha
1842,EPI_ISL_1791505,B.1.2,B.1 Type
1843,EPI_ISL_1792301,B.1.1.7,Alpha
1844,EPI_ISL_1792842,B.1.1.7,Alpha
1845,EPI_ISL_1793881,B.1.1.519,B.1.1 Type
1846,EPI_ISL_1794931,B.1.2,B.1 Type
1847,EPI_ISL_1795163,P.1.14,Gamma
1848,EPI_ISL_1795200,P.1,Gamma
1849,EPI_ISL_1795265,P.1.14,Gamma
1850,EPI_ISL_1795342,P.1.7,Gamma
1851,EPI_ISL_1795428,P.2,B.1.1 Type
1852,EPI_ISL_1797874,B.1.1.7,Alpha
1853,EPI_ISL_1805472,B.1.1.7,Alpha
1854,EPI_ISL_1805920,B.1.2,B.1 Type
1855,EPI_ISL_1806413,B.1.1.7,Alpha
1856,EPI_ISL_1807302,B.1.1.7,Alpha
1857,EPI_ISL_1807627,B.1.177.82,B.1 Type
1858,EPI_ISL_1808855,B.1.1.7,Alpha
1859,EPI_ISL_1808869,B.1.177,B.1 Type
1860,EPI_ISL_1809097,B.1.1.7,Alpha
1861,EPI_ISL_1809396,B.1.1.7,Alpha
1862,EPI_ISL_1809717,B.1.221,B.1 Type
1863,EPI_ISL_1811232,B.1.1.7,Alpha
1864,EPI_ISL_1813606,B.1.429,B.1 Type
1865,EPI_ISL_1813923,B.1.1,B.1.1 Type
1866,EPI_ISL_1814016,B.1.429,B.1 Type
1867,EPI_ISL_1814576,B.1,B.1
1868,EPI_ISL_1815026,B.1.1.519,B.1.1 Type
1869,EPI_ISL_1815643,B.1.551,B.1 Type
1870,EPI_ISL_1815759,B.1.429,B.1 Type
1871,EPI_ISL_1816076,B.1.243,B.1 Type
1872,EPI_ISL_1816127,B.1.1.362,B.1.1 Type
1873,EPI_ISL_1816862,B.1.609,B.1 Type
1874,EPI_ISL_1817592,P.1,Gamma
1875,EPI_ISL_1817934,B.1.1.7,Alpha
1876,EPI_ISL_1819020,B.1.351,Beta
1877,EPI_ISL_1819542,B.1.1.7,Alpha
1878,EPI_ISL_1819909,B.1.1.7,Alpha
1879,EPI_ISL_1820221,B.1.1.7,Alpha
1880,EPI_ISL_1821508,B.1.1.7,Alpha
1881,EPI_ISL_1821991,B.1.2,B.1 Type
1882,EPI_ISL_1823511,B.1.2,B.1 Type
1883,EPI_ISL_1826907,B.1.1.7,Alpha
1884,EPI_ISL_1826916,B.1.1.7,Alpha
1885,EPI_ISL_1826971,B.1.1.7,Alpha
1886,EPI_ISL_1829365,B.1.617.1,B.1 Type
1887,EPI_ISL_1833962,B.1.1.7,Alpha
1888,EPI_ISL_1838168,B.1.617.1,B.1 Type
1889,EPI_ISL_1838207,B.1.617.1,B.1 Type
1890,EPI_ISL_1838818,B.1.617.1,B.1 Type
1891,EPI_ISL_1838856,B.1.617.1,B.1 Type
1892,EPI_ISL_1841045,B.1.1.519,B.1.1 Type
1893,EPI_ISL_1842295,B.1.36.22,B.1 Type
1894,EPI_ISL_1843736,B.1.1.7,Alpha
1895,EPI_ISL_1843802,B.1.1.7,Alpha
1896,EPI_ISL_1846073,C.38,B.1.1 Type
1897,EPI_ISL_1847424,B.1.351,Beta
1898,EPI_ISL_1847863,B.1.1.7,Alpha
1899,EPI_ISL_1848322,B.1.1.7,Alpha
1900,EPI_ISL_1849666,B.1.429,B.1 Type
1901,EPI_ISL_1852693,B.1.1.7,Alpha
1902,EPI_ISL_1853271,B.1.1.7,Alpha
1903,EPI_ISL_1853570,B.1.1.7,Alpha
1904,EPI_ISL_1854358,B.1.1.7,Alpha
1905,EPI_ISL_1859184,B.1.1.7,Alpha
1906,EPI_ISL_1860015,B.1.1.7,Alpha
1907,EPI_ISL_1860427,B.1.1.7,Alpha
1908,EPI_ISL_1861362,B.1.1.7,Alpha
1909,EPI_ISL_1865347,B.1.526,B.1 Type
1910,EPI_ISL_1870005,B.1.1.7,Alpha
1911,EPI_ISL_1870604,B.1.1.7,Alpha
1912,EPI_ISL_1873926,B.1.1.7,Alpha
1913,EPI_ISL_1887422,U.2,B.1 Type
1914,EPI_ISL_1889390,B.1.177.12,B.1 Type
1915,EPI_ISL_1889914,B.1.1.7,Alpha
1916,EPI_ISL_1889944,B.1.1.7,Alpha
1917,EPI_ISL_1892771,B.1.1.7,Alpha
1918,EPI_ISL_1895511,B.1.1.7,Alpha
1919,EPI_ISL_1898635,B.1.351,Beta
1920,EPI_ISL_1899264,B.1.1.7,Alpha
1921,EPI_ISL_1899318,B.1.1.7,Alpha
1922,EPI_ISL_1899385,B.1.1.7,Alpha
1923,EPI_ISL_1901096,B.1.1.7,Alpha
1924,EPI_ISL_1902050,B.1.351,Beta
1925,EPI_ISL_1902161,B.1.1.7,Alpha
1926,EPI_ISL_1903658,B.1.1.7,Alpha
1927,EPI_ISL_1904455,B.1.617.1,B.1 Type
1928,EPI_ISL_1910733,B.1.2,B.1 Type
1929,EPI_ISL_1911746,B.1,B.1
1930,EPI_ISL_1913061,B.1.1.7,Alpha
1931,EPI_ISL_1915162,B.1.1.7,Alpha
1932,EPI_ISL_1915488,B.1.1.7,Alpha
1933,EPI_ISL_1915544,B.1.470,B.1 Type
1934,EPI_ISL_1916457,B.1.617.1,B.1 Type
1935,EPI_ISL_1919363,B.1.1.7,Alpha
1936,EPI_ISL_1920406,B.1.1.7,Alpha
1937,EPI_ISL_1921366,B.1.1.7,Alpha
1938,EPI_ISL_1922047,B.1.2,B.1 Type
1939,EPI_ISL_1922102,B.1.351,Beta
1940,EPI_ISL_1922583,B.1.1.7,Alpha
1941,EPI_ISL_1927275,P.1.14,Gamma
1942,EPI_ISL_1927430,B.1.1.214,B.1.1 Type
1943,EPI_ISL_1927949,B.1.1.214,B.1.1 Type
1944,EPI_ISL_1930180,B.1.1.214,B.1.1 Type
1945,EPI_ISL_1932252,B.1.1.214,B.1.1 Type
1946,EPI_ISL_1932438,B.1.1.7,Alpha
1947,EPI_ISL_1932494,B.1.1.7,Alpha
1948,EPI_ISL_1933237,R.1,B.1.1 Type
1949,EPI_ISL_1933356,B.1.346,B.1 Type
1950,EPI_ISL_1934107,R.1,B.1.1 Type
1951,EPI_ISL_1934254,B.1.1.284,B.1.1 Type
1952,EPI_ISL_1936171,B.1.1.7,Alpha
1953,EPI_ISL_1938248,B.1.2,B.1 Type
1954,EPI_ISL_1939841,B.1.36,B.1 Type
1955,EPI_ISL_1960966,B.1.1.7,Alpha
1956,EPI_ISL_1961272,B.1.1.7,Alpha
1957,EPI_ISL_1961667,B.1.1.7,Alpha
1958,EPI_ISL_1961987,B.1.1.7,Alpha
1959,EPI_ISL_1962026,B.1.1.7,Alpha
1960,EPI_ISL_1962205,B.1.351,Beta
1961,EPI_ISL_1963165,Q.4,Alpha
1962,EPI_ISL_1963405,B.1.1.7,Alpha
1963,EPI_ISL_1966261,B.1.1.28,B.1.1 Type
1964,EPI_ISL_1966347,P.1.14,Gamma
1965,EPI_ISL_1966372,P.1.14,Gamma
1966,EPI_ISL_1966433,B.1.1.7,Alpha
1967,EPI_ISL_1967247,P.1.14,Gamma
1968,EPI_ISL_1967825,B.1.177,B.1 Type
1969,EPI_ISL_1968976,B.1.1.7,Alpha
1970,EPI_ISL_1969139,Q.1,Alpha
1971,EPI_ISL_1969792,B.1.36,B.1 Type
1972,EPI_ISL_1970351,Q.8,Alpha
1973,EPI_ISL_1970588,B.1.1.7,Alpha
1974,EPI_ISL_1971012,B.1.1.214,B.1.1 Type
1975,EPI_ISL_1973088,B.1.2,B.1 Type
1976,EPI_ISL_1988545,B.1.1.7,Alpha
1977,EPI_ISL_1989060,B.1.1.7,Alpha
1978,EPI_ISL_1989336,B.1.1.297,B.1.1 Type
1979,EPI_ISL_2001167,B.1.1.7,Alpha
1980,EPI_ISL_2001178,B.1.1.7,Alpha
1981,EPI_ISL_2001347,B.1.1.7,Alpha
1982,EPI_ISL_2001375,B.1.1.7,Alpha
1983,EPI_ISL_2003830,B.1.1.7,Alpha
1984,EPI_ISL_2004050,B.1.1.7,Alpha
1985,EPI_ISL_2004592,B.1.1.7,Alpha
1986,EPI_ISL_2017749,B.1,B.1
1987,EPI_ISL_2022800,B.1.1.7,Alpha
1988,EPI_ISL_2027782,B.1.1.7,Alpha
1989,EPI_ISL_2029842,B.1.525,B.1 Type
1990,EPI_ISL_2030743,B.1.1.7,Alpha
1991,EPI_ISL_2033050,B.1.1.7,Alpha
1992,EPI_ISL_2094761,B.1.1.7,Alpha
1993,EPI_ISL_2100591,B.1.1.7,Alpha
1994,EPI_ISL_2115861,B.1.1.7,Alpha
1995,EPI_ISL_2116730,B.1.1.7,Alpha
1996,EPI_ISL_2122074,B.1.1.7,Alpha
1997,EPI_ISL_2139627,B.1.351,Beta
1998,EPI_ISL_2179816,B.1.1.7,Alpha
1999,EPI_ISL_2184472,B.1.526,B.1 Type
2000,EPI_ISL_2204578,B.1.1.7,Alpha
2001,EPI_ISL_2204611,B.1.577,B.1 Type
2002,EPI_ISL_2208413,B.1.2,B.1 Type
2003,EPI_ISL_2217470,B.1.2,B.1 Type
2004,EPI_ISL_2223820,B.1,B.1
2005,EPI_ISL_2225077,B.1,B.1
2006,EPI_ISL_2231619,B.1.617.1,B.1 Type
2007,EPI_ISL_2232343,B.1.1,B.1.1 Type
2008,EPI_ISL_2234269,B.1.1.7,Alpha
2009,EPI_ISL_2234973,B.1.526,B.1 Type
2010,EPI_ISL_2248703,B.1.2,B.1 Type
2011,EPI_ISL_2255554,B.1.1.7,Alpha
2012,EPI_ISL_2263238,B.1.1.7,Alpha
2013,EPI_ISL_2266080,B.1.1.7,Alpha
2014,EPI_ISL_2279029,B.1.427,B.1 Type
2015,EPI_ISL_2299549,B.1.1.7,Alpha
2016,EPI_ISL_2306149,B.1.526,B.1 Type
2017,EPI_ISL_2315316,B.1.1.7,Alpha
2018,EPI_ISL_2320904,B.1.1.7,Alpha
2019,EPI_ISL_2325881,R.1,B.1.1 Type
2020,EPI_ISL_2336930,B.1.1.7,Alpha
2021,EPI_ISL_2337306,R.1,B.1.1 Type
2022,EPI_ISL_2338534,B.1.466.2,B.1 Type
2023,EPI_ISL_2343247,B.1.1.7,Alpha
2024,EPI_ISL_2346313,P.1.16,Gamma
2025,EPI_ISL_2350440,R.1,B.1.1 Type
2026,EPI_ISL_2353878,B.1.1.7,Alpha
2027,EPI_ISL_2363607,B.1,B.1
2028,EPI_ISL_2363622,B.1.1,B.1.1 Type
2029,EPI_ISL_2374769,B.1.1.7,Alpha
2030,EPI_ISL_2397610,B.1.1.7,Alpha
2031,EPI_ISL_2398041,B.1.1.7,Alpha
2032,EPI_ISL_2399323,B.1.1.7,Alpha
2033,EPI_ISL_2399362,B.1.526,B.1 Type
2034,EPI_ISL_2403566,B.1,B.1
2035,EPI_ISL_2403750,B.1.1.7,Alpha
2036,EPI_ISL_2406128,B.1.1.7,Alpha
2037,EPI_ISL_2409640,B.1.177.21,B.1 Type
2038,EPI_ISL_2416716,B.1.1.7,Alpha
2039,EPI_ISL_2417821,B.1.1.7,Alpha
2040,EPI_ISL_2418030,B.1.1.7,Alpha
2041,EPI_ISL_2418319,B.1.1.7,Alpha
2042,EPI_ISL_2419414,B.1.1.7,Alpha
2043,EPI_ISL_2419460,B.1.1.7,Alpha
2044,EPI_ISL_2419988,B.1.1.7,Alpha
2045,EPI_ISL_2420709,B.1.1.7,Alpha
2046,EPI_ISL_2422777,B.1.1.222,B.1.1 Type
2047,EPI_ISL_2423357,B.1.1.7,Alpha
2048,EPI_ISL_2423393,B.1.1.7,Alpha
2049,EPI_ISL_2423470,B.1.1.7,Alpha
2050,EPI_ISL_2424772,B.1.1.7,Alpha
2051,EPI_ISL_2425221,P.1,Gamma
2052,EPI_ISL_2427792,Q.1,Alpha
2053,EPI_ISL_2428489,Q.1,Alpha
2054,EPI_ISL_2433049,B.1.1.7,Alpha
2055,EPI_ISL_2433147,B.1.1.7,Alpha
2056,EPI_ISL_2433347,B.1.1.7,Alpha
2057,EPI_ISL_2438600,B.1.1.7,Alpha
2058,EPI_ISL_2438704,B.1.1.7,Alpha
2059,EPI_ISL_2439194,B.1.1.7,Alpha
2060,EPI_ISL_2439640,B.1.1.7,Alpha
2061,EPI_ISL_2440063,B.1.526,B.1 Type
2062,EPI_ISL_2440175,B.1.1.7,Alpha
2063,EPI_ISL_2440291,B.1.526,B.1 Type
2064,EPI_ISL_2440433,B.1.1.7,Alpha
2065,EPI_ISL_2440653,B.1.1.7,Alpha
2066,EPI_ISL_2441258,B.1.1,B.1.1 Type
2067,EPI_ISL_2441426,B.1.617.1,B.1 Type
2068,EPI_ISL_2442863,B.1.1.7,Alpha
2069,EPI_ISL_2443006,B.1.1.7,Alpha
2070,EPI_ISL_2443407,C.36.3,B.1.1 Type
2071,EPI_ISL_2443572,P.1,Gamma
2072,EPI_ISL_2443594,P.1,Gamma
2073,EPI_ISL_2444230,B.1.2,B.1 Type
2074,EPI_ISL_2444345,B.1.1.7,Alpha
2075,EPI_ISL_2445327,P.1,Gamma
2076,EPI_ISL_2445346,B.1.1.7,Alpha
2077,EPI_ISL_2445437,P.1.14,Gamma
2078,EPI_ISL_2445467,P.1,Gamma
2079,EPI_ISL_2445645,B.1.177,B.1 Type
2080,EPI_ISL_2447612,P.1,Gamma
2081,EPI_ISL_2447700,B.1.1.7,Alpha
2082,EPI_ISL_2448677,B.1.1.336,B.1.1 Type
2083,EPI_ISL_2451274,B.1.526,B.1 Type
2084,EPI_ISL_2452205,B.1.526,B.1 Type
2085,EPI_ISL_2452356,A.23.1,A
2086,EPI_ISL_2452534,B.1.525,B.1 Type
2087,EPI_ISL_2453749,Q.4,Alpha
2088,EPI_ISL_2454078,B.1.1,B.1.1 Type
2089,EPI_ISL_2455189,B.1.1.7,Alpha
2090,EPI_ISL_2458564,B.1.429,B.1 Type
2091,EPI_ISL_2459073,B.1.36,B.1 Type
2092,EPI_ISL_2459602,B.1.36,B.1 Type
2093,EPI_ISL_2459956,B.1.1.306,B.1.1 Type
2094,EPI_ISL_2460044,B.1.36.29,B.1 Type
2095,EPI_ISL_2460196,B.1.617.1,B.1 Type
2096,EPI_ISL_2463042,B.1.1.7,Alpha
2097,EPI_ISL_2464542,B.1.1.7,Alpha
2098,EPI_ISL_2466076,B.1.1.7,Alpha
2099,EPI_ISL_2466875,B.1.2,B.1 Type
2100,EPI_ISL_2469692,B.1.1.7,Alpha
2101,EPI_ISL_2470567,B.1.1.7,Alpha
2102,EPI_ISL_2471243,B.1.1.7,Alpha
2103,EPI_ISL_2472469,B.1.1.7,Alpha
2104,EPI_ISL_2474661,B.1.1.7,Alpha
2105,EPI_ISL_2474678,B.1.1.7,Alpha
2106,EPI_ISL_2474700,B.1.1.7,Alpha
2107,EPI_ISL_2474788,B.1.1.7,Alpha
2108,EPI_ISL_2475303,B.1.1.7,Alpha
2109,EPI_ISL_2475949,B.1.1.7,Alpha
2110,EPI_ISL_2476191,B.1.1.7,Alpha
2111,EPI_ISL_2476384,P.1,Gamma
2112,EPI_ISL_2476389,B.1.351,Beta
2113,EPI_ISL_2476430,P.1,Gamma
2114,EPI_ISL_2477657,P.1.14,Gamma
2115,EPI_ISL_2480268,B.1.1.7,Alpha
2116,EPI_ISL_2480536,B.1.1.7,Alpha
2117,EPI_ISL_2481225,P.1,Gamma
2118,EPI_ISL_2481242,B.1.637,B.1 Type
2119,EPI_ISL_2481539,B.1.1.7,Alpha
2120,EPI_ISL_2481641,Q.3,Alpha
2121,EPI_ISL_2482041,B.1.526,B.1 Type
2122,EPI_ISL_2483163,B.1.1.7,Alpha
2123,EPI_ISL_2483823,B.1.1.7,Alpha
2124,EPI_ISL_2483824,B.1.1.7,Alpha
2125,EPI_ISL_2483850,B.1.1.7,Alpha
2126,EPI_ISL_2485056,B.1.1.7,Alpha
2127,EPI_ISL_2485065,B.1.1.7,Alpha
2128,EPI_ISL_1160967,B.1.2,B.1 Type
2129,EPI_ISL_778910,B.1.349,B.1 Type
2130,EPI_ISL_766571,B.1.160,B.1 Type
2131,EPI_ISL_765989,B.1.429,B.1 Type
2132,EPI_ISL_1444072,B.1.2,B.1 Type
2133,EPI_ISL_1512410,B.1.2,B.1 Type
2134,EPI_ISL_1514228,B.1.2,B.1 Type
2135,EPI_ISL_776474,A,A
2136,EPI_ISL_989175,B.1.177.16,B.1 Type
2137,EPI_ISL_465577,B.40,B.* Type
2138,EPI_ISL_943978,B.1.1.28,B.1.1 Type
2139,EPI_ISL_1706599,B.1.617.1,B.1 Type
2140,EPI_ISL_634379,B.1.177.17,B.1 Type
2141,EPI_ISL_538979,B,B
2142,EPI_ISL_1159465,B.1.2,B.1 Type
2143,EPI_ISL_532367,B.1.177,B.1 Type
2144,EPI_ISL_1576564,B.1.2,B.1 Type
2145,EPI_ISL_544967,D.2,B.1.1 Type
2146,EPI_ISL_1592973,B.1.637,B.1 Type
2147,EPI_ISL_1593047,B.1.526,B.1 Type
2148,EPI_ISL_551368,B.1.1.67,B.1.1 Type
2149,EPI_ISL_891268,C.16,B.1.1 Type
2150,EPI_ISL_1681083,P.2,B.1.1 Type
2151,EPI_ISL_1608980,B.1.1.7,Alpha
2152,EPI_ISL_1609727,B.1.526,B.1 Type
2153,EPI_ISL_455868,B.1,B.1
2154,EPI_ISL_1615278,B.1.575,B.1 Type
2155,EPI_ISL_1611469,B.1.575,B.1 Type
2156,EPI_ISL_530169,B.1.243,B.1 Type
2157,EPI_ISL_508169,B.1.210,B.1 Type
2158,EPI_ISL_737369,B.1.221,B.1 Type
2159,EPI_ISL_593870,B.1.36.8,B.1 Type
2160,EPI_ISL_953770,B.1.177.71,B.1 Type
2161,EPI_ISL_901970,B.1.1.214,B.1.1 Type
2162,EPI_ISL_520870,D.2,B.1.1 Type
2163,EPI_ISL_1684765,B.1.427,B.1 Type
2164,EPI_ISL_520742,B.4.7,B.* Type
2165,EPI_ISL_1681914,P.1,Gamma
2166,EPI_ISL_1683762,B.1.1.7,Alpha
2167,EPI_ISL_1683254,B.1.1.7,Alpha
2168,EPI_ISL_1690597,B.1.2,B.1 Type
2169,EPI_ISL_1691525,B.1.1.7,Alpha
2170,EPI_ISL_739972,B.1.177,B.1 Type
2171,EPI_ISL_886673,B.1.2,B.1 Type
2172,EPI_ISL_872973,B.1.1.141,B.1.1 Type
2173,EPI_ISL_852873,B.1.36.18,B.1 Type
2174,EPI_ISL_1711754,B.1.2,B.1 Type
2175,EPI_ISL_684374,B.35,B.* Type
2176,EPI_ISL_936974,C.31,B.1.1 Type
2177,EPI_ISL_862075,B.1.1.413,B.1.1 Type
2178,EPI_ISL_1003343,B.1.160.16,B.1 Type
2179,EPI_ISL_1738348,B.1.1.7,Alpha
2180,EPI_ISL_758475,B.1.160,B.1 Type
2181,EPI_ISL_995476,B.1.160,B.1 Type
2182,EPI_ISL_492676,B,B
2183,EPI_ISL_1087876,B.1.517,B.1 Type
2184,EPI_ISL_776479,A,A
2185,EPI_ISL_642679,B.1.1.311,B.1.1 Type
2186,EPI_ISL_1734899,B.1.1.7,Alpha
2187,EPI_ISL_1796347,B.1.1.7,Alpha
2188,EPI_ISL_1789426,B.1.617.2,Delta
2189,EPI_ISL_1802197,R.1,B.1.1 Type
2190,EPI_ISL_1801839,P.1,Gamma
2191,EPI_ISL_1802550,B.1.1.7,Alpha
2192,EPI_ISL_781982,B.1.177,B.1 Type
2193,EPI_ISL_693682,B.1.1.1,B.1.1 Type
2194,EPI_ISL_635346,B.1.399,B.1 Type
2195,EPI_ISL_776482,B.1.159,B.1 Type
2196,EPI_ISL_1823840,B.1.1.519,B.1.1 Type
2197,EPI_ISL_892383,B.1.1.284,B.1.1 Type
2198,EPI_ISL_615083,B.1,B.1
2199,EPI_ISL_557984,B.1.258.3,B.1 Type
2200,EPI_ISL_1838811,B.1.617.2,Delta
2201,EPI_ISL_653403,B.1.1.1,B.1.1 Type
2202,EPI_ISL_1022148,B.1.243,B.1 Type
2203,EPI_ISL_1391648,B.1.2,B.1 Type
2204,EPI_ISL_569187,B.1.416,B.1 Type
2205,EPI_ISL_733490,B.1.1,B.1.1 Type
2206,EPI_ISL_1161223,B.1.2,B.1 Type
2207,EPI_ISL_833191,B.1,B.1
2208,EPI_ISL_1909921,B.1.1.7,Alpha
2209,EPI_ISL_509305,B.1.237,B.1 Type
2210,EPI_ISL_527754,B.1.291,B.1 Type
2211,EPI_ISL_509393,B.6.6,B.* Type
2212,EPI_ISL_530213,B.1,B.1
2213,EPI_ISL_905736,B.1.2,B.1 Type
2214,EPI_ISL_769794,B.1.177,B.1 Type
2215,EPI_ISL_536575,B.1.1.186,B.1.1 Type
2216,EPI_ISL_790095,B.1.1,B.1.1 Type
2217,EPI_ISL_858895,B.1.177,B.1 Type
2218,EPI_ISL_899695,B.1.1.70,B.1.1 Type
2219,EPI_ISL_646196,B.1.235,B.1 Type
2220,EPI_ISL_1971918,B.1.1.7,Alpha
2221,EPI_ISL_825399,B.1.1,B.1.1 Type
2222,EPI_ISL_605806,B.6.6,B.* Type
2223,EPI_ISL_813177,B.1.177.6,B.1 Type
2224,EPI_ISL_510856,B.1.1.261,B.1.1 Type
2225,EPI_ISL_1996481,B.1.1.7,Alpha
2226,EPI_ISL_812860,B.1.1,B.1.1 Type
2227,EPI_ISL_527757,B.1.1.389,B.1.1 Type
2228,EPI_ISL_2010424,B.1.1.7,Alpha
2229,EPI_ISL_941553,B.1.177.85,B.1 Type
2230,EPI_ISL_563858,D.2,B.1.1 Type
2231,EPI_ISL_995363,B.1.177,B.1 Type
2232,EPI_ISL_636003,B.1.397,B.1 Type
2233,EPI_ISL_2041681,P.1,Gamma
2234,EPI_ISL_848608,P.2,B.1.1 Type
2235,EPI_ISL_2046822,B.1.617.1,B.1 Type
2236,EPI_ISL_2044913,B.1.1.7,Alpha
2237,EPI_ISL_846730,B.1.2,B.1 Type
2238,EPI_ISL_2096717,B.1.526,B.1 Type
2239,EPI_ISL_620833,B.1.1.288,B.1.1 Type
2240,EPI_ISL_2115134,B.1.617.2,Delta
2241,EPI_ISL_1690378,B.1.1.7,Alpha
2242,EPI_ISL_476987,B.1.1.1,B.1.1 Type
2243,EPI_ISL_771247,B.1.2,B.1 Type
2244,EPI_ISL_707915,B.1.1.416,B.1.1 Type
2245,EPI_ISL_674286,B.1.177.69,B.1 Type
2246,EPI_ISL_649199,B.1.177,B.1 Type
2247,EPI_ISL_642117,B.1.177,B.1 Type
2248,EPI_ISL_635592,C.28,B.1.1 Type
2249,EPI_ISL_620301,B.1.177.21,B.1 Type
2250,EPI_ISL_833117,B.1.177,B.1 Type
2251,EPI_ISL_1444251,B.1.429,B.1 Type
2252,EPI_ISL_1525917,B.1.1.316,B.1.1 Type
2253,EPI_ISL_1480769,B.1.1.7,Alpha
2254,EPI_ISL_937118,B.1.396,B.1 Type
2255,EPI_ISL_824083,B.1.221,B.1 Type
2256,EPI_ISL_780163,B.1.564,B.1 Type
2257,EPI_ISL_1090647,B.1.2,B.1 Type
2258,EPI_ISL_420731,B.40,B.* Type
2259,EPI_ISL_430791,B,B
2260,EPI_ISL_429882,B.6,B.* Type
2261,EPI_ISL_427763,A.2.2,A
2262,EPI_ISL_430406,B.1,B.1
2263,EPI_ISL_430429,B.1,B.1
2264,EPI_ISL_444274,B.4,B.* Type
2265,EPI_ISL_451990,B.1,B.1
2266,EPI_ISL_454443,B.3,B.* Type
2267,EPI_ISL_455394,B,B
2268,EPI_ISL_460064,A.1,A
2269,EPI_ISL_455473,B.1.1,B.1.1 Type
2270,EPI_ISL_455102,B.1,B.1
2271,EPI_ISL_456088,B.1.1.28,B.1.1 Type
2272,EPI_ISL_456105,B.1.1.33,B.1.1 Type
2273,EPI_ISL_461189,B.1,B.1
2274,EPI_ISL_468154,B.1.1,B.1.1 Type
2275,EPI_ISL_475693,B.1,B.1
2276,EPI_ISL_482881,B.1.159,B.1 Type
2277,EPI_ISL_481866,B.1.1,B.1.1 Type
2278,EPI_ISL_495065,B.1,B.1
2279,EPI_ISL_509787,B.1.1,B.1.1 Type
2280,EPI_ISL_509996,B.1,B.1
2281,EPI_ISL_518656,D.2,B.1.1 Type
2282,EPI_ISL_518564,D.2,B.1.1 Type
2283,EPI_ISL_520779,D.2,B.1.1 Type
2284,EPI_ISL_517616,B.1.219,B.1 Type
2285,EPI_ISL_522077,D.2,B.1.1 Type
2286,EPI_ISL_523668,B.1.8,B.1 Type
2287,EPI_ISL_528823,B.1.1.326,B.1.1 Type
2288,EPI_ISL_541386,B.1.1.28,B.1.1 Type
2289,EPI_ISL_538433,A.3,A
2290,EPI_ISL_547478,B.3,B.* Type
2291,EPI_ISL_559788,B.1.177,B.1 Type
2292,EPI_ISL_558885,B.1.1,B.1.1 Type
2293,EPI_ISL_562170,D.2,B.1.1 Type
2294,EPI_ISL_559384,B.1.1,B.1.1 Type
2295,EPI_ISL_567344,B.1.1.311,B.1.1 Type
2296,EPI_ISL_578199,A.2,A
2297,EPI_ISL_580443,B.1.1.307,B.1.1 Type
2298,EPI_ISL_581267,B.1.1.307,B.1.1 Type
2299,EPI_ISL_585030,B.1.1.303,B.1.1 Type
2300,EPI_ISL_589041,B.1.36.17,B.1 Type
2301,EPI_ISL_594899,B.1.177.57,B.1 Type
2302,EPI_ISL_597384,B.1.1.37,B.1.1 Type
2303,EPI_ISL_598282,B.1.177.82,B.1 Type
2304,EPI_ISL_598212,B.1.221,B.1 Type
2305,EPI_ISL_597732,B.1.177,B.1 Type
2306,EPI_ISL_605792,B.1.1.317,B.1.1 Type
2307,EPI_ISL_610597,AD.2,B.1.1 Type
2308,EPI_ISL_619976,B.1.218,B.1 Type
2309,EPI_ISL_615347,B.1.221.3,B.1 Type
2310,EPI_ISL_621661,B.1,B.1
2311,EPI_ISL_620107,B.1.1.191,B.1.1 Type
2312,EPI_ISL_621258,B.1.1.189,B.1.1 Type
2313,EPI_ISL_625040,B.1.177,B.1 Type
2314,EPI_ISL_625787,B.1.258,B.1 Type
2315,EPI_ISL_627988,B.1.177.7,B.1 Type
2316,EPI_ISL_633853,B.1.160,B.1 Type
2317,EPI_ISL_642914,B.1.177.15,B.1 Type
2318,EPI_ISL_635197,B.1.36,B.1 Type
2319,EPI_ISL_641905,B.1.235,B.1 Type
2320,EPI_ISL_641883,B.1.258.4,B.1 Type
2321,EPI_ISL_644512,B.1.160,B.1 Type
2322,EPI_ISL_646522,B.1.177,B.1 Type
2323,EPI_ISL_662947,B.1.177.4,B.1 Type
2324,EPI_ISL_660256,B.1.1.507,B.1.1 Type
2325,EPI_ISL_656942,B.1.177,B.1 Type
2326,EPI_ISL_659180,B.1.177.6,B.1 Type
2327,EPI_ISL_656844,B.1.1.355,B.1.1 Type
2328,EPI_ISL_656760,B.1.177,B.1 Type
2329,EPI_ISL_660641,B.1.1.448,B.1.1 Type
